team_name,confederation
Brazil,CONMEBOL
Argentina,CONMEBOL
Uruguay,CONMEBOL
Colombia,CONMEBOL
Chile,CONMEBOL
Paraguay,CONMEBOL
Peru,CONMEBOL
Ecuador,CONMEBOL
Bolivia,CONMEBOL
Venezuela,CONMEBOL
France,UEFA
Germany,UEFA
Spain,UEFA
England,UEFA
Italy,UEFA
Portugal,UEFA
Netherlands,UEFA
Belgium,UEFA
Croatia,UEFA
Switzerland,UEFA
Poland,UEFA
Denmark,UEFA
Sweden,UEFA
Austria,UEFA
Serbia,UEFA
Ukraine,UEFA
Turkey,UEFA
Wales,UEFA
Scotland,UEFA
Republic of Ireland,UEFA
Czech Republic,UEFA
Hungary,UEFA
Romania,UEFA
Greece,UEFA
Norway,UEFA
Finland,UEFA
Iceland,UEFA
Slovakia,UEFA
Slovenia,UEFA
Bosnia and Herzegovina,UEFA
Albania,UEFA
North Macedonia,UEFA
Montenegro,UEFA
Kosovo,UEFA
Georgia,UEFA
Armenia,UEFA
Azerbaijan,UEFA
Israel,UEFA
Russia,UEFA
USA,CONCACAF
Mexico,CONCACAF
Canada,CONCACAF
Costa Rica,CONCACAF
Jamaica,CONCACAF
Panama,CONCACAF
Honduras,CONCACAF
El Salvador,CONCACAF
Guatemala,CONCACAF
Trinidad and Tobago,CONCACAF
Haiti,CONCACAF
Curaçao,CONCACAF
Japan,AFC
Korea Republic,AFC
Australia,AFC
Iran,AFC
Saudi Arabia,AFC
Qatar,AFC
Iraq,AFC
United Arab Emirates,AFC
China PR,AFC
Uzbekistan,AFC
Jordan,AFC
Oman,AFC
Bahrain,AFC
Syria,AFC
Palestine,AFC
India,AFC
Thailand,AFC
Vietnam,AFC
Indonesia,AFC
Morocco,CAF
Senegal,CAF
Nigeria,CAF
Egypt,CAF
Cameroon,CAF
Ghana,CAF
Algeria,CAF
Tunisia,CAF
Ivory Coast,CAF
South Africa,CAF
Mali,CAF
Burkina Faso,CAF
DR Congo,CAF
Zambia,CAF
New Zealand,OFC
