match_id,date,home_team,away_team,home_goals,away_goals,is_neutral,tournament,tournament_tier,venue_country
1990-01-12_algeria_mali,1990-01-12,Algeria,Mali,5,0,1,Friendly,friendly,France
1990-01-14_algeria_cameroon,1990-01-14,Algeria,Cameroon,3,1,1,Friendly,friendly,France
1990-01-17_greece_belgium,1990-01-17,Greece,Belgium,2,0,0,Friendly,friendly,Greece
1990-01-17_mexico_argentina,1990-01-17,Mexico,Argentina,2,0,1,Friendly,friendly,United States
1990-01-20_malawi_tanzania,1990-01-20,Malawi,Tanzania,2,2,1,Friendly,friendly,Swaziland
1990-01-20_eswatini_botswana,1990-01-20,Eswatini,Botswana,3,1,0,Friendly,friendly,Swaziland
1990-01-21_botswana_malawi,1990-01-21,Botswana,Malawi,2,2,1,Friendly,friendly,Swaziland
1990-01-21_kuwait_france,1990-01-21,Kuwait,France,0,1,0,Friendly,friendly,Kuwait
1990-01-21_eswatini_tanzania,1990-01-21,Eswatini,Tanzania,0,1,0,Friendly,friendly,Swaziland
1990-01-23_botswana_tanzania,1990-01-23,Botswana,Tanzania,0,0,1,Friendly,friendly,Swaziland
1990-01-24_france_german_dr,1990-01-24,France,German DR,3,0,1,Friendly,friendly,Kuwait
1990-01-24_liberia_senegal,1990-01-24,Liberia,Senegal,0,1,1,Friendly,friendly,Nigeria
1990-01-25_nigeria_ivory_coast,1990-01-25,Nigeria,Ivory Coast,2,0,0,Friendly,friendly,Nigeria
1990-01-25_united_arab_emirates_egypt,1990-01-25,United Arab Emirates,Egypt,1,2,0,Friendly,friendly,United Arab Emirates
1990-01-26_kuwait_german_dr,1990-01-26,Kuwait,German DR,1,2,0,Friendly,friendly,Kuwait
1990-01-27_ivory_coast_liberia,1990-01-27,Ivory Coast,Liberia,1,0,1,Friendly,friendly,Nigeria
1990-01-27_united_arab_emirates_egypt,1990-01-27,United Arab Emirates,Egypt,1,0,0,Friendly,friendly,United Arab Emirates
1990-01-28_nigeria_senegal,1990-01-28,Nigeria,Senegal,1,1,0,Friendly,friendly,Nigeria
1990-01-29_thailand_kenya,1990-01-29,Thailand,Kenya,2,1,0,King's Cup,friendly,Thailand
1990-02-02_colombia_uruguay,1990-02-02,Colombia,Uruguay,0,2,1,Miami Cup,friendly,United States
1990-02-02_indonesia_kenya,1990-02-02,Indonesia,Kenya,2,3,1,King's Cup,friendly,Thailand
1990-02-02_iran_poland,1990-02-02,Iran,Poland,0,2,0,Friendly,friendly,Iran
1990-02-02_united_states_costa_rica,1990-02-02,United States,Costa Rica,0,2,0,Miami Cup,friendly,United States
1990-02-04_algeria_romania,1990-02-04,Algeria,Romania,0,0,0,Friendly,friendly,Algeria
1990-02-04_costa_rica_uruguay,1990-02-04,Costa Rica,Uruguay,0,2,1,Miami Cup,friendly,United States
1990-02-04_iran_poland,1990-02-04,Iran,Poland,0,1,0,Friendly,friendly,Iran
1990-02-04_south_korea_norway,1990-02-04,South Korea,Norway,2,3,1,Malta International Tournament,friendly,Malta
1990-02-04_united_states_colombia,1990-02-04,United States,Colombia,1,1,0,Miami Cup,friendly,United States
1990-02-05_thailand_indonesia,1990-02-05,Thailand,Indonesia,1,1,0,King's Cup,friendly,Thailand
1990-02-05_united_arab_emirates_denmark,1990-02-05,United Arab Emirates,Denmark,1,1,0,Friendly,friendly,United Arab Emirates
1990-02-07_malta_norway,1990-02-07,Malta,Norway,1,1,0,Malta International Tournament,friendly,Malta
1990-02-10_malta_south_korea,1990-02-10,Malta,South Korea,1,2,0,Malta International Tournament,friendly,Malta
1990-02-10_uganda_mauritius,1990-02-10,Uganda,Mauritius,4,1,0,Friendly,friendly,Uganda
1990-02-11_kuwait_poland,1990-02-11,Kuwait,Poland,1,1,1,Friendly,friendly,Egypt
1990-02-11_togo_cameroon,1990-02-11,Togo,Cameroon,1,1,0,Friendly,friendly,Togo
1990-02-12_united_arab_emirates_finland,1990-02-12,United Arab Emirates,Finland,1,1,0,Friendly,friendly,United Arab Emirates
1990-02-13_bermuda_united_states,1990-02-13,Bermuda,United States,0,1,0,Friendly,friendly,Bermuda
1990-02-14_egypt_denmark,1990-02-14,Egypt,Denmark,0,0,0,Friendly,friendly,Egypt
1990-02-14_united_arab_emirates_sweden,1990-02-14,United Arab Emirates,Sweden,2,1,0,Friendly,friendly,United Arab Emirates
1990-02-15_iraq_south_korea,1990-02-15,Iraq,South Korea,0,0,0,Friendly,friendly,Iraq
1990-02-15_kuwait_finland,1990-02-15,Kuwait,Finland,0,1,0,Friendly,friendly,Kuwait
1990-02-17_united_arab_emirates_sweden,1990-02-17,United Arab Emirates,Sweden,0,2,0,Friendly,friendly,United Arab Emirates
1990-02-18_egypt_south_korea,1990-02-18,Egypt,South Korea,0,0,0,Friendly,friendly,Egypt
1990-02-20_colombia_russia,1990-02-20,Colombia,Russia,0,0,1,Marlboro Cup,friendly,United States
1990-02-21_belgium_sweden,1990-02-21,Belgium,Sweden,0,0,0,Friendly,friendly,Belgium
1990-02-21_gambia_guinea_bissau,1990-02-21,Gambia,Guinea-Bissau,0,1,0,Friendly,friendly,Gambia
1990-02-21_kuwait_bahrain,1990-02-21,Kuwait,Bahrain,1,0,0,Gulf Cup,friendly,Kuwait
1990-02-21_morocco_ivory_coast,1990-02-21,Morocco,Ivory Coast,2,1,0,Friendly,friendly,Morocco
1990-02-21_netherlands_italy,1990-02-21,Netherlands,Italy,0,0,0,Friendly,friendly,Netherlands
1990-02-21_spain_czechoslovakia,1990-02-21,Spain,Czechoslovakia,1,0,0,Friendly,friendly,Spain
1990-02-22_costa_rica_russia,1990-02-22,Costa Rica,Russia,1,2,1,Marlboro Cup,friendly,United States
1990-02-22_oman_united_arab_emirates,1990-02-22,Oman,United Arab Emirates,1,1,1,Gulf Cup,friendly,Kuwait
1990-02-23_qatar_bahrain,1990-02-23,Qatar,Bahrain,0,0,1,Gulf Cup,friendly,Kuwait
1990-02-24_kuwait_oman,1990-02-24,Kuwait,Oman,1,1,0,Gulf Cup,friendly,Kuwait
1990-02-24_united_states_russia,1990-02-24,United States,Russia,1,3,0,Friendly,friendly,United States
1990-02-27_qatar_united_arab_emirates,1990-02-27,Qatar,United Arab Emirates,0,0,1,Gulf Cup,friendly,Kuwait
1990-02-28_egypt_austria,1990-02-28,Egypt,Austria,0,0,0,Friendly,friendly,Egypt
