team_name,fifa_rank,gdp_per_capita_usd,population_millions,squad_value_eur,is_host_2026
Brazil,1,8917.0,215.0,950000000,0
Argentina,2,13651.0,46.0,780000000,0
France,3,40494.0,68.0,1200000000,0
England,4,45230.0,56.0,1400000000,0
Belgium,5,49926.0,12.0,450000000,0
Portugal,6,24515.0,10.0,520000000,0
Netherlands,7,52100.0,18.0,680000000,0
Spain,8,30103.0,48.0,980000000,0
Italy,9,34776.0,59.0,750000000,0
Croatia,10,18500.0,4.0,280000000,0
Uruguay,11,20795.0,3.5,180000000,0
Colombia,12,6632.0,52.0,220000000,0
Germany,13,48756.0,84.0,900000000,0
USA,14,76330.0,335.0,350000000,1
Mexico,15,11496.0,130.0,180000000,1
Morocco,16,3800.0,37.0,250000000,0
Switzerland,17,92000.0,9.0,220000000,0
Japan,18,33815.0,125.0,280000000,0
Senegal,19,1600.0,17.0,200000000,0
Iran,20,4120.0,88.0,95000000,0
Denmark,21,68000.0,6.0,350000000,0
Korea Republic,22,33147.0,52.0,180000000,0
Australia,23,64400.0,26.0,120000000,0
Austria,24,52000.0,9.0,200000000,0
Turkey,25,10600.0,85.0,320000000,0
Canada,26,52000.0,40.0,150000000,1
Ukraine,27,4500.0,37.0,180000000,0
Ecuador,28,6400.0,18.0,120000000,0
Scotland,29,48000.0,5.5,150000000,0
Serbia,30,9500.0,7.0,350000000,0
Paraguay,31,5800.0,7.0,95000000,0
Tunisia,32,3800.0,12.0,65000000,0
Chile,33,15500.0,19.0,85000000,0
Poland,34,18000.0,38.0,280000000,0
Wales,35,32000.0,3.2,120000000,0
Algeria,36,4300.0,45.0,90000000,0
Egypt,37,3600.0,110.0,85000000,0
Norway,38,89000.0,5.5,200000000,0
Panama,39,15500.0,4.4,35000000,0
Peru,40,7100.0,34.0,75000000,0
Slovakia,41,21000.0,5.5,95000000,0
Qatar,42,88000.0,2.9,15000000,0
Czech Republic,43,27000.0,10.5,180000000,0
Costa Rica,44,12500.0,5.2,45000000,0
Nigeria,45,2200.0,220.0,180000000,0
Republic of Ireland,46,102000.0,5.2,120000000,0
Hungary,47,18500.0,9.7,280000000,0
Ivory Coast,48,2500.0,28.0,220000000,0
Saudi Arabia,49,28000.0,36.0,320000000,0
Cameroon,50,1600.0,28.0,120000000,0
Ghana,51,2400.0,33.0,150000000,0
Bolivia,52,3600.0,12.0,25000000,0
Venezuela,53,3400.0,28.0,45000000,0
Iraq,54,5800.0,44.0,55000000,0
Russia,55,12000.0,146.0,280000000,0
New Zealand,56,48000.0,5.2,25000000,0
South Africa,57,6500.0,60.0,65000000,0
