alias,canonical
Brasil,Brazil
Argentina,Argentina
França,France
Alemanha,Germany
Espanha,Spain
Inglaterra,England
Holanda,Netherlands
Países Baixos,Netherlands
Uruguai,Uruguay
Colômbia,Colombia
Chile,Chile
Paraguai,Paraguay
Peru,Peru
Equador,Ecuador
Bolívia,Bolivia
Venezuela,Venezuela
México,Mexico
Mexico,Mexico
Estados Unidos,USA
EUA,USA
Canadá,Canada
Canada,Canada
Portugal,Portugal
Bélgica,Belgium
Belgica,Belgium
Croácia,Croatia
Croacia,Croatia
Suíça,Switzerland
Suica,Switzerland
Polônia,Poland
Polonia,Poland
Dinamarca,Denmark
Suécia,Sweden
Suecia,Sweden
Áustria,Austria
Austria,Austria
Sérvia,Serbia
Servia,Serbia
Ucrânia,Ukraine
Ucrania,Ukraine
Turquia,Turkey
Turkey,Turkey
País de Gales,Wales
Gales,Wales
Escócia,Scotland
Escocia,Scotland
Irã,Iran
Iran,Iran
Arábia Saudita,Saudi Arabia
Arabia Saudita,Saudi Arabia
Catar,Qatar
Coreia do Sul,Korea Republic
Coréia do Sul,Korea Republic
Japão,Japan
Japao,Japan
Austrália,Australia
Australia,Australia
Marrocos,Morocco
Senegal,Senegal
Nigéria,Nigeria
Nigeria,Nigeria
Egito,Egypt
Camarões,Cameroon
Camaroes,Cameroon
Gana,Ghana
Argélia,Algeria
Argelia,Algeria
Tunísia,Tunisia
Tunisia,Tunisia
Costa do Marfim,Ivory Coast
África do Sul,South Africa
Africa do Sul,South Africa
