team_name,confederation,elo_rating,elo_external,fifa_rank,squad_value_eur,gdp_per_capita_usd,population_millions,world_cups_won,wc_appearances,culture_index,structural_strength,matches_played,historical_win_rate,avg_goals_for,avg_goals_against,recent_form,is_host_2026
France,UEFA,2021.6,2021.6,3,1200000000.0,40494.0,68.0,2,43,3.455,8.192,454,0.626,1.872,0.749,1.682,0
Argentina,CONMEBOL,2020.0,2020.0,2,780000000.0,13651.0,46.0,3,50,3.813,8.382,471,0.599,1.828,0.837,2.174,0
Spain,UEFA,1996.5,1996.5,8,980000000.0,30103.0,48.0,1,42,3.335,7.753,443,0.664,2.199,0.731,1.761,0
Brazil,CONMEBOL,1990.2,1990.2,1,950000000.0,8917.0,215.0,5,56,4.042,9.093,534,0.644,2.133,0.753,1.248,0
England,UEFA,1956.6,1956.6,4,1400000000.0,45230.0,56.0,1,43,3.277,7.693,433,0.575,1.866,0.751,1.792,0
Netherlands,UEFA,1924.1,1924.1,7,680000000.0,52100.0,18.0,0,43,3.188,6.95,428,0.572,2.072,0.871,1.535,0
Portugal,UEFA,1915.0,1915.0,6,520000000.0,24515.0,10.0,0,29,2.438,5.662,416,0.579,2.01,0.788,1.473,0
Colombia,CONMEBOL,1909.1,1909.1,12,220000000.0,6632.0,52.0,0,22,2.059,5.096,454,0.452,1.335,0.91,0.994,0
Belgium,UEFA,1906.0,1906.0,5,450000000.0,49926.0,12.0,0,33,2.621,5.907,377,0.517,1.857,1.05,1.989,0
Japan,AFC,1890.1,1890.1,18,280000000.0,33815.0,125.0,0,29,2.37,5.813,527,0.539,1.924,0.945,1.038,0
Germany,UEFA,1887.6,1887.6,13,900000000.0,48756.0,84.0,4,55,3.71,8.027,485,0.602,2.216,1.025,1.597,0
Morocco,CAF,1878.2,1878.2,16,250000000.0,3800.0,37.0,0,20,1.871,4.659,408,0.544,1.586,0.691,1.498,0
Mexico,CONCACAF,1855.3,1855.3,15,180000000.0,11496.0,130.0,0,34,2.534,6.074,659,0.519,1.703,0.982,1.078,1
Croatia,UEFA,1848.5,1848.5,10,280000000.0,18500.0,4.0,0,33,2.463,5.049,381,0.53,1.711,0.979,0.758,0
Iran,AFC,1834.3,1834.3,20,95000000.0,4120.0,88.0,0,18,1.648,4.026,455,0.58,1.952,0.76,0.923,0
